wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
350	0.015087116	0.011606043	0.015869863	0.013223288	0.014942582	0.023439339	0.012852482	0.015276167	0.016311138
351	0.015105111	0.0116505	0.015895322	0.013239793	0.014977264	0.023413787	0.012859819	0.015294141	0.016312251
352	0.015125588	0.011692342	0.015920854	0.013259692	0.015011973	0.023396215	0.012870771	0.015316224	0.016315781
353	0.015148548	0.011731567	0.015946461	0.013282984	0.015046711	0.023386625	0.012885337	0.015342415	0.016321729
354	0.015173991	0.011768177	0.015972141	0.01330967	0.015081476	0.023385017	0.012903518	0.015372714	0.016330094
355	0.015201915	0.01180217	0.015997894	0.01333975	0.01511627	0.023391389	0.012925314	0.015407121	0.016340878
356	0.015232322	0.011833547	0.016023721	0.013373223	0.015151091	0.023405743	0.012950725	0.015445637	0.016354079
357	0.015274066	0.011866824	0.016048724	0.013437371	0.015172012	0.023411594	0.012986389	0.015484979	0.016367605
358	0.015308977	0.011877599	0.016060016	0.013490034	0.01519843	0.023436965	0.013016713	0.015537895	0.016386842
359	0.015337045	0.011884241	0.016080857	0.013521429	0.015236244	0.023479813	0.013048073	0.015595714	0.016405266
360	0.015371134	0.011907811	0.016124639	0.013545351	0.015275484	0.023546774	0.013080869	0.015647077	0.016421852
361	0.015419394	0.011939724	0.016162067	0.013581593	0.015317996	0.023620923	0.013123225	0.015700215	0.016460266
362	0.015470926	0.011974033	0.016202107	0.013616021	0.01536589	0.023695004	0.013171136	0.015750581	0.01649807
363	0.015513533	0.012007753	0.016249073	0.013646167	0.015428157	0.023778033	0.013213367	0.015790133	0.016532238
364	0.015563105	0.01203509	0.016300929	0.013686236	0.015488783	0.023849135	0.013264716	0.015819119	0.016573989
365	0.015614598	0.012071607	0.016338512	0.013726539	0.015547712	0.023897126	0.013323036	0.015854382	0.016620222
366	0.015647616	0.012124479	0.016358694	0.01376286	0.015593261	0.02392815	0.013370445	0.015898914	0.016671907
367	0.015658871	0.012169642	0.016399587	0.013792003	0.015622718	0.023961196	0.013400239	0.015933996	0.016729394
368	0.015698483	0.012208775	0.016443733	0.013832028	0.015673719	0.024010541	0.01343729	0.015982187	0.01678185
369	0.015762884	0.012242063	0.016477009	0.013878216	0.015737038	0.024065102	0.013475443	0.016045446	0.016821784
370	0.015821811	0.012263372	0.016514256	0.013920484	0.015787828	0.024128907	0.013496864	0.016112988	0.016854117
371	0.01588202	0.012301741	0.016566716	0.013983069	0.015834409	0.024220689	0.013538991	0.016176672	0.01690777
372	0.015959717	0.012354869	0.016617483	0.014050098	0.015889676	0.024325817	0.013597391	0.016242097	0.016980102
373	0.016052606	0.012417867	0.016663341	0.014115511	0.015962892	0.024443286	0.013652759	0.016312179	0.017060757
374	0.0161423	0.01249007	0.016734982	0.014177927	0.016044767	0.02456135	0.013706231	0.016382415	0.017122623
375	0.016214517	0.01256223	0.016826449	0.014240464	0.016113057	0.024680347	0.013762438	0.016452721	0.017177902
376	0.016278591	0.012632657	0.016927186	0.014302964	0.016182834	0.024794364	0.013825378	0.01652109	0.017253046
377	0.016350485	0.012701946	0.017030597	0.014354121	0.016269738	0.024893512	0.013897206	0.0165874	0.017344103
378	0.016418334	0.012779801	0.01712326	0.014423124	0.016360783	0.024997708	0.013961417	0.016666625	0.017431173
379	0.016498324	0.012855721	0.017203961	0.01449869	0.01645357	0.025127363	0.014029068	0.01676382	0.017518179
380	0.016604184	0.012912946	0.017280994	0.01457237	0.016562657	0.025279281	0.014112915	0.016874224	0.017602175
381	0.016713541	0.012962202	0.017352107	0.014663406	0.016678864	0.025425843	0.014204568	0.016981423	0.017681059
382	0.016830921	0.013036396	0.017415731	0.014765231	0.016791245	0.025591162	0.014281196	0.017096708	0.017774831
383	0.016966493	0.013142963	0.017483997	0.014875099	0.01690319	0.025800068	0.014350313	0.017221718	0.017892707
384	0.017122525	0.01325814	0.017559778	0.0149742	0.017023261	0.026019183	0.014427005	0.017347561	0.01801229
385	0.017273193	0.013381201	0.017639057	0.015075928	0.01715005	0.026229532	0.014511029	0.017478246	0.01813612
386	0.017411648	0.013501862	0.017732725	0.015184906	0.017278704	0.026433039	0.014602342	0.017609725	0.018262602
387	0.017549236	0.013608424	0.017848519	0.015287612	0.017397801	0.026630393	0.014705355	0.017741688	0.018391607
388	0.017681028	0.013711169	0.017980192	0.015382204	0.017518949	0.026807933	0.014799449	0.017864592	0.018532292
389	0.017815402	0.013810874	0.018115414	0.015474894	0.017654912	0.026972186	0.014896444	0.017992937	0.018678671
390	0.017952615	0.013915107	0.018248017	0.015579236	0.017801759	0.027153252	0.015004508	0.018143167	0.01881827
391	0.018103877	0.014031036	0.0183827	0.015680693	0.017957567	0.027374149	0.015124983	0.018303348	0.018971843
392	0.018277515	0.014141677	0.018520993	0.015797304	0.018121736	0.027625349	0.015258682	0.018469102	0.019141089
393	0.018473754	0.014257035	0.018668641	0.015942	0.018301223	0.027894071	0.015392621	0.018644575	0.019318678
