Wavelength	ewt_exp00000.asd	ewt_exp00001.asd	ewt_exp00002.asd	ewt_exp00003.asd	ewt_exp00004.asd	ewt_exp00005.asd	ewt_exp00006.asd	ewt_exp00007.asd	ewt_exp00008.asd	ewt_exp00009.asd	ewt_exp00010.asd	ewt_exp00011.asd	ewt_exp00012.asd	ewt_exp00013.asd	ewt_exp00014.asd	ewt_exp00015.asd	ewt_exp00016.asd	ewt_exp00017.asd	ewt_exp00018.asd	ewt_exp00019.asd	ewt_exp00020.asd	ewt_exp00021.asd	ewt_exp00022.asd	ewt_exp00023.asd	ewt_exp00024.asd	ewt_exp00025.asd	ewt_exp00026.asd	ewt_exp00027.asd	ewt_exp00028.asd	ewt_exp00029.asd	ewt_exp00030.asd	ewt_exp00031.asd	ewt_exp00032.asd	ewt_exp00033.asd	ewt_exp00034.asd	ewt_exp00035.asd	ewt_exp00036.asd	ewt_exp00037.asd	ewt_exp00038.asd	ewt_exp00039.asd
350	2.02121623971135E-02	2.06432589389937E-02	2.09734551914789E-02	2.07750986563888E-02	2.08942288580856E-02	2.09568933694566E-02	0.020734810572966	2.11711281604834E-02	2.12982098266278E-02	0.021360182193112	2.14757657011012E-02	0.021542824211321	0.021555519556868	2.13978353531243E-02	2.14434631474169E-02	2.14495215335776E-02	0.021427162143335	2.12954409386904E-02	2.12078670541214E-02	2.09999186715332E-02	2.14134201287634E-02	2.12645871276226E-02	2.10306548889303E-02	2.10065363143562E-02	2.11224752763282E-02	2.10197975794988E-02	2.10890942343398E-02	2.07041656183304E-02	2.07271076704896E-02	2.06452496291434E-02	0.02095189063542	0.020667001929874	2.09547818091933E-02	2.07342117509798E-02	2.05708051385293E-02	2.04767323659961E-02	2.05346714043364E-02	2.05133165607644E-02	2.03880386957176E-02	 2.05456130919889E-02 
351	2.03397873405944E-02	2.07982951932517E-02	2.09968799705187E-02	0.020922117345638	0.021112392499262	2.10489917858709E-02	2.09004600153254E-02	2.11881617972523E-02	2.13812896566341E-02	2.15157440743418E-02	2.14513945512888E-02	2.14825806883539E-02	0.021481143354341	2.15506544573727E-02	2.13932741851913E-02	2.15587085217775E-02	2.14634142080653E-02	2.14220341118575E-02	2.14547475038091E-02	0.021181694143537	2.15605116863932E-02	2.14701293174649E-02	2.13616008933875E-02	2.12167112449617E-02	2.11963957971292E-02	2.10479930479877E-02	2.12648683411446E-02	2.08363405600995E-02	2.09102907415767E-02	2.07043807639398E-02	2.09327847666495E-02	2.08037774501188E-02	2.10171432262865E-02	2.07581050060705E-02	0.020622318377821	2.06377350161015E-02	2.05609476209708E-02	0.020551457107308	2.06343248783852E-02	 2.04450143764783E-02 
352	2.02152393082964E-02	2.06513341642133E-02	2.08010602849246E-02	2.09260035531858E-02	2.10647104895074E-02	2.09907799806735E-02	2.09712831101737E-02	0.020967921998886	2.12317112251756E-02	2.14130817930581E-02	2.13360103782806E-02	2.13456988792637E-02	0.021404910121037	0.021461951991359	2.12229377698042E-02	2.14184223625083E-02	2.13620414331776E-02	2.12905136967181E-02	2.14043574836118E-02	2.13035011461373E-02	2.14451496754302E-02	2.13934777969953E-02	2.13574256853322E-02	2.11970024626923E-02	2.10694082026484E-02	2.09157586139042E-02	2.11210950416959E-02	2.08547185258309E-02	2.09824497602582E-02	0.020724778163632	2.07223127013034E-02	2.07426225491904E-02	2.08810456357127E-02	2.07574338569172E-02	2.05139117692028E-02	2.05696705855722E-02	2.04884908000286E-02	2.03665954663696E-02	2.05165578984169E-02	 2.02278176692566E-02 
353	1.98733841739714E-02	2.02400796094035E-02	2.05543327585125E-02	2.06908701457798E-02	2.06798040591069E-02	2.07827046872271E-02	2.07315257490598E-02	2.06867840635483E-02	2.09162580356009E-02	2.10566150913912E-02	2.11734953030599E-02	2.12413751163762E-02	2.13823003543043E-02	0.021038350166975	2.10935356097476E-02	2.11906921540291E-02	2.12196967180268E-02	2.09373289645847E-02	2.10762370882288E-02	2.11194155005762E-02	2.10869530761167E-02	2.09979835979785E-02	2.08653811634189E-02	2.07854205505147E-02	2.08203272041033E-02	2.07467454921376E-02	2.06722657584858E-02	2.07008938878429E-02	2.08096895795088E-02	2.06489382931675E-02	2.05668103211264E-02	2.03990067730917E-02	2.06440671362095E-02	2.07300225667751E-02	2.02393793825064E-02	2.02289971861099E-02	2.03702744490608E-02	2.01482912690921E-02	1.99981100673379E-02	 2.00703865576502E-02 
354	2.01744618489777E-02	2.04988791217668E-02	2.07600271576873E-02	2.10557001908615E-02	2.08809291099314E-02	2.08919563344742E-02	2.07723229200435E-02	2.10469689223864E-02	0.021241467072832	2.13163281405947E-02	2.12745205257512E-02	2.13558046052099E-02	2.13867150876936E-02	2.11541684433742E-02	2.13477877119411E-02	2.12059967436349E-02	2.13310740618947E-02	2.11470806664522E-02	0.021286920296953	2.11985735844138E-02	2.12976128005533E-02	2.12065289951742E-02	2.11467386927606E-02	2.10261109221316E-02	2.11029593987225E-02	2.08960060103146E-02	2.08908022240541E-02	2.08936598725219E-02	2.08646447858988E-02	2.08053712831862E-02	2.08810176671595E-02	2.07053306618572E-02	2.07729545581971E-02	2.07634891262229E-02	2.05416831006889E-02	2.05172392588205E-02	2.04488384198751E-02	2.03519731436545E-02	2.03689585131087E-02	 2.03444297730345E-02 
355	2.02878816403695E-02	2.06437548073146E-02	2.07656588241688E-02	2.10576499285375E-02	2.09392775547687E-02	0.020896621650955	2.08105414865308E-02	2.11059177184757E-02	2.13335668658967E-02	2.13754388031971E-02	2.12561143139899E-02	2.13951744224853E-02	0.021379550518786	2.13173060765014E-02	2.14193900533456E-02	2.12854071455979E-02	2.13797682281615E-02	2.12066746249396E-02	0.021380112082915	2.12036405761001E-02	2.14130209251446E-02	2.12160537121462E-02	2.11994879428066E-02	2.10852164439452E-02	2.11975286958616E-02	2.09410352246826E-02	0.020993239730668	2.09263457641882E-02	2.08649199968809E-02	2.08022306749412E-02	2.09899629115871E-02	2.08193447106487E-02	2.07998706094976E-02	2.07795002359946E-02	2.05221129579556E-02	2.05990933146294E-02	2.04290121274109E-02	2.04324612762589E-02	2.04809877673948E-02	 2.04527095539646E-02 
356	2.01214269396293E-02	2.05735562246682E-02	0.02058884916966	2.07282648047987E-02	2.07813204048973E-02	2.07843480245808E-02	2.07870863374233E-02	2.08646137143016E-02	2.11164970996185E-02	2.12160929598931E-02	2.11291014326535E-02	2.13084646815237E-02	2.13720926819556E-02	2.13937161996088E-02	2.12591421447186E-02	2.13315528492269E-02	2.13127303310229E-02	2.11098196389228E-02	2.12399462301886E-02	0.021105760634893	2.13059270664137E-02	2.10202984983157E-02	0.020998619263408	2.08950472216736E-02	2.10291887961904E-02	2.08515960563797E-02	2.08850407336868E-02	2.07836469251069E-02	2.07654668847997E-02	2.06850626004356E-02	2.08253840019346E-02	2.06330967174992E-02	2.07053544644905E-02	2.07554242794078E-02	0.020229642149288	2.04526037947365E-02	2.03196986648162E-02	2.03550897672005E-02	2.02512609951418E-02	 2.03347540547259E-02 
357	2.00734146941441E-02	2.06324433107321E-02	2.07039408210506E-02	2.07793218521733E-02	2.07635822102122E-02	2.08166966216209E-02	2.07792870810074E-02	2.09687114278379E-02	0.021050239576571	2.13543643073951E-02	2.11731474557378E-02	2.12091347273646E-02	2.14111159495451E-02	2.14649996531824E-02	2.11722128619295E-02	2.12871926348564E-02	2.12515035301236E-02	2.13210409547498E-02	2.11015318356388E-02	0.02107610219091	2.11965651826522E-02	2.11458680596464E-02	2.11655454260917E-02	2.08933719910427E-02	2.09561231271398E-02	2.08618662339275E-02	2.09215695544405E-02	2.07816986862099E-02	2.06731653898536E-02	2.08006563051729E-02	2.07325679555783E-02	2.05252478858511E-02	2.07694315221432E-02	2.07041282889013E-02	2.03623713344702E-02	2.05986773516411E-02	2.03381315590725E-02	2.04281999403287E-02	2.03041075920136E-02	 2.02961704726969E-02 
358	2.00233630287167E-02	2.05039840984604E-02	2.06347268832668E-02	2.08454729912137E-02	2.07541518419284E-02	2.08797774025643E-02	2.07984196608172E-02	2.10005358266275E-02	2.10376246831186E-02	2.12842782054855E-02	2.11836000196006E-02	2.11792658522892E-02	0.021331927615668	2.14562943421971E-02	2.11715960037396E-02	2.12544900527925E-02	2.12538121275307E-02	2.12962933745169E-02	2.10310914962639E-02	2.11623375772261E-02	2.11000720662216E-02	2.12777195636405E-02	2.10689802733516E-02	0.020899467069353	2.09654058910807E-02	2.08874709482037E-02	2.09363097760725E-02	2.08287106169715E-02	2.07002839275159E-02	2.08683822637189E-02	2.06298533718762E-02	0.020559205423768	2.07381753969619E-02	2.06139187908387E-02	2.04116604820106E-02	2.04921129481018E-02	2.04330649714876E-02	2.04027424454043E-02	0.020293026999528	 2.03215513295063E-02 
359	1.99601404458655E-02	2.03374433590646E-02	2.05458776761546E-02	2.07931811198431E-02	2.07299185507684E-02	2.08500127554927E-02	2.07980318261859E-02	0.020937881278346	2.10214109614781E-02	2.11261736444845E-02	2.11734771476057E-02	0.021189527567699	2.12610719068556E-02	2.13595161803397E-02	2.12025536306771E-02	2.11436478790893E-02	2.12210381812649E-02	0.021105892098277	2.10028593218843E-02	2.11484958411729E-02	2.11106022842301E-02	2.13094065759577E-02	2.09484545482404E-02	2.08940032350744E-02	2.09631612196108E-02	2.08778624138174E-02	2.08719325308503E-02	2.08584698692796E-02	2.07581961061887E-02	0.020834386557955	2.05836271604044E-02	0.020625567800017	2.06451335807477E-02	2.05340823737447E-02	2.03351825666465E-02	2.02826449953473E-02	2.04785940318881E-02	2.02656593706307E-02	2.02542683787951E-02	 2.02888601433579E-02 
