Wavelength	ewt_exp00120.asd	ewt_exp00121.asd	ewt_exp00122.asd	ewt_exp00123.asd	ewt_exp00124.asd	ewt_exp00125.asd	ewt_exp00126.asd	ewt_exp00127.asd	ewt_exp00128.asd	ewt_exp00129.asd	ewt_exp00130.asd	ewt_exp00131.asd	ewt_exp00132.asd	ewt_exp00133.asd	ewt_exp00134.asd	ewt_exp00135.asd	ewt_exp00136.asd	ewt_exp00137.asd	ewt_exp00138.asd	ewt_exp00139.asd	ewt_exp00140.asd	ewt_exp00141.asd	ewt_exp00142.asd	ewt_exp00143.asd	ewt_exp00144.asd	ewt_exp00145.asd	ewt_exp00146.asd	ewt_exp00147.asd	ewt_exp00148.asd	ewt_exp00149.asd	ewt_exp00150.asd	ewt_exp00151.asd	ewt_exp00152.asd	ewt_exp00153.asd	ewt_exp00154.asd	ewt_exp00155.asd	ewt_exp00156.asd	ewt_exp00157.asd	ewt_exp00158.asd	ewt_exp00159.asd
350	1.97852149130685E-02	0.019575233824028	1.95896370468904E-02	1.95931024857653E-02	0.019331990564613	1.90977311903143E-02	1.88834751071546E-02	0.018198813993284	1.87055824506142E-02	1.91252787495374E-02	1.91366432842444E-02	1.92320020631139E-02	1.90541745082791E-02	1.91726051641266E-02	1.91721630409103E-02	1.88926181951405E-02	1.86388016298507E-02	1.82065037889603E-02	1.83073253506311E-02	1.82745522266154E-02	1.79617411408209E-02	1.76530510198102E-02	1.78835413995558E-02	1.78726695761072E-02	1.80049555085019E-02	1.77302503780338E-02	1.77340175938548E-02	1.75301253979443E-02	1.75018012607091E-02	1.77498491205896E-02	1.75282808594689E-02	1.76464142572987E-02	1.76527419600067E-02	1.75666384564941E-02	1.73731112910905E-02	1.71692518752886E-02	1.71028515516467E-02	1.69467084103236E-02	1.70999953685185E-02	 1.71562832223369E-02 
351	1.95394494208741E-02	1.94994468951254E-02	1.95462936840101E-02	1.94999170939572E-02	1.90952998187459E-02	1.89129480527555E-02	1.88327008549505E-02	1.80173073652256E-02	1.85527580237589E-02	1.89809708380979E-02	1.90555233154952E-02	1.90052865995419E-02	1.89257110858365E-02	1.91126611559617E-02	1.89562384224575E-02	1.87566733962467E-02	1.85720695131094E-02	1.82511155438738E-02	1.81906045030257E-02	1.81613180122612E-02	1.78990657210874E-02	1.77429988974144E-02	1.78342540590073E-02	1.78826992566029E-02	1.78374712589768E-02	1.76322647014437E-02	1.75398353333186E-02	1.74898499930409E-02	1.73491235507745E-02	1.75726067276329E-02	1.75561788003131E-02	1.75495087975592E-02	1.74900346346066E-02	1.74890650482966E-02	1.71949586891502E-02	0.017011012585713	1.70438967299141E-02	1.68856252245169E-02	1.69584777215531E-02	 1.70695369545429E-02 
352	0.019482268326578	1.94926317961883E-02	1.94896752545187E-02	1.94197784687981E-02	1.89584535901422E-02	1.88311831323181E-02	1.87229624551654E-02	1.79768409790277E-02	1.85274596245148E-02	1.89297996090991E-02	1.89927544319878E-02	1.88547656509188E-02	1.87823564525903E-02	1.90559267102661E-02	1.88177380613234E-02	1.86976615700439E-02	0.018544251311567	1.83180518967149E-02	1.81250067368685E-02	1.80849171965778E-02	1.78490480182271E-02	1.77710432776734E-02	1.78122504506852E-02	1.78192626006176E-02	1.76856819012413E-02	1.75376139174099E-02	1.74688394105661E-02	1.74734211044759E-02	1.73612930260225E-02	1.75209411878135E-02	1.75097528979771E-02	1.74208153576369E-02	1.74040028029739E-02	1.74106226579904E-02	1.71251096893554E-02	1.69115290198819E-02	1.70962293216294E-02	1.68338212581608E-02	1.68907155108243E-02	 1.70108280116324E-02 
353	1.97704958724368E-02	0.019581544978756	1.95342996734911E-02	1.94553618356908E-02	1.91061728787142E-02	1.90540432584935E-02	1.86891303709217E-02	1.81200268600369E-02	1.87404563688795E-02	1.90886744661082E-02	1.90154484131561E-02	1.89359349011018E-02	1.88180155474048E-02	1.90787341803177E-02	1.89061365704745E-02	1.87620421365032E-02	1.85917128786447E-02	1.83508502119896E-02	1.81974003110037E-02	1.80852870181841E-02	1.78810274574807E-02	1.76487696241977E-02	1.79298318763154E-02	1.78187989388668E-02	1.77699411106846E-02	1.74998656221811E-02	1.76414897733414E-02	1.75932312001292E-02	1.75513624056217E-02	0.017634721550162	1.74396047045399E-02	1.73737041831997E-02	1.74804025070972E-02	0.017435004859454	1.72497363935522E-02	1.70438828114251E-02	1.72338377741656E-02	0.016856418589506	1.69926341127083E-02	 1.70584843196814E-02 
354	1.95602891659338E-02	1.93438585379445E-02	1.94635361187446E-02	1.93602067967178E-02	0.019037500323127	1.89058278442698E-02	1.86470734870307E-02	1.80408892597542E-02	1.86311964922109E-02	1.89877964707309E-02	1.88354502366404E-02	1.87676640371348E-02	1.89051096430671E-02	1.89903762398404E-02	1.89483693508279E-02	1.87797175299825E-02	1.85665984238395E-02	1.82787035245327E-02	0.018098364487897	1.80383291547514E-02	1.77534227778137E-02	1.74233641445774E-02	1.78089389084969E-02	1.78062104851674E-02	1.76473173115773E-02	1.74562196501454E-02	1.73758197969807E-02	1.74841317666356E-02	1.73576668042366E-02	1.73696454812916E-02	1.73684736644692E-02	1.74273545890863E-02	1.74259832867042E-02	1.73706323243955E-02	1.71019360194359E-02	1.70413259148898E-02	1.68554719568224E-02	1.68757779920121E-02	0.017016325530257	 1.68373604697271E-02 
355	1.94424313507794E-02	1.92219507244022E-02	1.93590329221361E-02	1.92904489777388E-02	1.89403508904595E-02	1.87712418464432E-02	1.85936434132441E-02	1.79823060258825E-02	1.84765672666083E-02	1.89099190369816E-02	0.018887123914718	1.87207875561404E-02	1.88849860711012E-02	1.89520777608412E-02	1.88279409605082E-02	1.87845179683922E-02	1.84202564259692E-02	1.81782688599535E-02	1.80283853241789E-02	1.80022725589103E-02	1.76812913715355E-02	1.73819171066028E-02	1.77164045752355E-02	1.77579141103666E-02	1.75518520551795E-02	1.75083607075154E-02	1.72546438063172E-02	1.74295991242327E-02	1.72777122587312E-02	1.72673388971067E-02	1.73580544971198E-02	1.73920350948694E-02	0.017356135869396	1.73364170989979E-02	1.69625418678619E-02	1.69335033837645E-02	1.67073671758094E-02	1.68642615235168E-02	1.69803661672021E-02	 0.016751993220906 
356	1.95392291995769E-02	1.92955020223583E-02	1.93230025993911E-02	1.93194784291512E-02	1.89496521613772E-02	1.87781438196134E-02	1.85824883944566E-02	1.80071643106131E-02	1.84465024144283E-02	1.89388282247979E-02	1.91182585248542E-02	1.88297665690018E-02	0.018799502950124	0.019023896055716	1.87261675843939E-02	1.87884218033963E-02	0.018289206281556	1.81308129109559E-02	1.80759071144214E-02	1.80153058873486E-02	1.77111737535034E-02	1.75464615830625E-02	0.017732106204021	1.77002299195874E-02	1.75876809741472E-02	1.76150847761591E-02	1.73975525378097E-02	1.74783665812506E-02	1.73894387169763E-02	1.73972409538688E-02	1.74231451734981E-02	1.73113292025365E-02	1.73655653792011E-02	0.017361603165517	1.69702707349527E-02	1.68449195242804E-02	0.016882603036375	1.68327404013423E-02	1.69744479424934E-02	 1.68800194729002E-02 
357	1.96718497879105E-02	1.94018808469494E-02	1.94806167026918E-02	0.019469668615424	1.91816412465185E-02	0.018897515016136	1.87099374765845E-02	1.80662696480197E-02	1.86589711769965E-02	1.90345491891693E-02	1.91356593478155E-02	1.89056214517221E-02	1.88377874683369E-02	1.91987537762015E-02	1.90494703349649E-02	1.87942778140388E-02	1.84512025559968E-02	1.82257491529715E-02	1.82608522329584E-02	1.81048701944968E-02	1.77775297311386E-02	1.77450367055558E-02	1.78176809662341E-02	1.76971030800973E-02	1.77822798676218E-02	1.76322624967288E-02	1.76195222646207E-02	0.017524673097144	1.74925264135977E-02	1.75117543844558E-02	1.75414602946641E-02	0.01739420675967	1.75451774554769E-02	0.01741810438163	1.71815384067338E-02	1.69838983448511E-02	1.70307459072696E-02	1.68221214539549E-02	1.71481710594218E-02	 1.70785405119823E-02 
358	1.95824943243967E-02	1.93549850523791E-02	1.93449256843518E-02	1.93048943744772E-02	1.90584865209349E-02	1.87396405797418E-02	1.86742286141185E-02	1.80114810241213E-02	1.86229212749351E-02	1.89367995187227E-02	1.90360877767688E-02	1.88756233617883E-02	0.018727517334052	1.90250470803223E-02	1.90121536280285E-02	1.87861895310685E-02	1.84644797990164E-02	1.81983721878594E-02	1.81993153705194E-02	1.79831692847571E-02	1.76433587862524E-02	1.76617686490607E-02	1.77874769863873E-02	1.75644040760554E-02	1.77263792437785E-02	1.75738665266091E-02	1.76051495479575E-02	1.73755893030813E-02	1.73171430036939E-02	1.74022948803353E-02	1.74373649794836E-02	1.73559574085311E-02	1.74212686804615E-02	1.74212488318426E-02	1.71140939076879E-02	1.69686617799437E-02	1.69194938329149E-02	1.67507052209711E-02	1.70000704603673E-02	 1.70072745388707E-02 
359	1.94480377639184E-02	1.92554130359453E-02	1.91327650797897E-02	1.91100010219543E-02	1.88060477605006E-02	1.85057251602288E-02	1.85305952989405E-02	1.79036333032354E-02	0.018426465248906	1.87658896037484E-02	1.88992238970935E-02	1.87917749980021E-02	1.85862553741028E-02	0.01878399947113	1.88086864887882E-02	1.87054825209376E-02	1.83834220082812E-02	1.80935464148024E-02	1.80030477127233E-02	1.78062253020005E-02	1.74891238027999E-02	1.74710853775749E-02	1.76772603468407E-02	1.74671278505089E-02	1.75469230965206E-02	0.01746031597473	0.017436426407891	1.72073214188173E-02	1.70941578256918E-02	1.72624451380838E-02	1.72321925895156E-02	1.72215111676103E-02	1.72358611388912E-02	1.73618281149423E-02	1.69433971757995E-02	1.68318680692481E-02	1.67031031652292E-02	1.66632508117107E-02	1.67679315008266E-02	 0.016838566950566 
