lambda absorption
690 0.0049
691 0.00506666666667
692 0.00523333333333
693 0.0054
694 0.00556666666667
695 0.00573333333333
696 0.0059
697 0.00606666666667
698 0.00623333333333
699 0.0064
700 0.00656666666667
701 0.00673333333333
702 0.0069
703 0.00714166666667
704 0.00738333333333
705 0.007625
706 0.00786666666667
707 0.00810833333333
708 0.00835
709 0.00859166666667
710 0.00883333333333
711 0.009075
712 0.00931666666667
713 0.00955833333333
714 0.0098
715 0.0101272727273
716 0.0104545454545
717 0.0107818181818
718 0.0111090909091
719 0.0114363636364
720 0.0117636363636
721 0.0120909090909
722 0.0124181818182
723 0.0127454545455
724 0.0130727272727
725 0.0134
726 0.01444
727 0.01548
728 0.01652
729 0.01756
730 0.0186
731 0.01964
732 0.02068
733 0.02172
734 0.02276
735 0.0238
736 0.0241363636364
737 0.0244727272727
738 0.0248090909091
739 0.0251454545455
740 0.0254818181818
741 0.0258181818182
742 0.0261545454545
743 0.0264909090909
744 0.0268272727273
745 0.0271636363636
746 0.0275
747 0.0276
748 0.0277
749 0.0278
750 0.0279
751 0.028
752 0.0281
753 0.02795
754 0.0278
755 0.02765
756 0.0275
757 0.02735
758 0.0272
759 0.0270090909091
760 0.0268181818182
761 0.0266272727273
762 0.0264363636364
763 0.0262454545455
764 0.0260545454545
765 0.0258636363636
766 0.0256727272727
767 0.0254818181818
768 0.0252909090909
769 0.0251
770 0.024925
771 0.02475
772 0.024575
773 0.0244
774 0.024225
775 0.02405
776 0.023875
777 0.0237
778 0.023525
779 0.02335
780 0.023175
781 0.023
782 0.0228461538462
783 0.0226923076923
784 0.0225384615385
785 0.0223846153846
786 0.0222307692308
787 0.0220769230769
788 0.0219230769231
789 0.0217692307692
790 0.0216153846154
791 0.0214615384615
792 0.0213076923077
793 0.0211538461538
794 0.021
795 0.020875
796 0.02075
797 0.020625
798 0.0205
799 0.020375
800 0.02025
801 0.020125
802 0.02
803 0.019875
804 0.01975
805 0.019625
806 0.0195
807 0.0194428571429
808 0.0193857142857
809 0.0193285714286
810 0.0192714285714
811 0.0192142857143
812 0.0191571428571
813 0.0191
814 0.0192142857143
815 0.0193285714286
816 0.0194428571429
817 0.0195571428571
818 0.0196714285714
819 0.0197857142857
820 0.0199
821 0.0207384615385
822 0.0215769230769
823 0.0224153846154
824 0.0232538461538
825 0.0240923076923
826 0.0249307692308
827 0.0257692307692
828 0.0266076923077
829 0.0274461538462
830 0.0282846153846
831 0.0291230769231
832 0.0299615384615
833 0.0308
834 0.0313642857143
835 0.0319285714286
836 0.0324928571429
837 0.0330571428571
838 0.0336214285714
839 0.0341857142857
840 0.03475
841 0.0353142857143
842 0.0358785714286
843 0.0364428571429
844 0.0370071428571
845 0.0375714285714
846 0.0381357142857
847 0.0387
848 0.0389733333333
849 0.0392466666667
850 0.03952
851 0.0397933333333
852 0.0400666666667
853 0.04034
854 0.0406133333333
855 0.0408866666667
856 0.04116
857 0.0414333333333
858 0.0417066666667
859 0.04198
860 0.0422533333333
861 0.0425266666667
862 0.0428
863 0.04332
864 0.04384
865 0.04436
866 0.04488
867 0.0454
868 0.04592
869 0.04644
870 0.04696
871 0.04748
872 0.048
873 0.04852
874 0.04904
875 0.04956
876 0.05008
877 0.0506
878 0.05124375
879 0.0518875
880 0.05253125
881 0.053175
882 0.05381875
883 0.0544625
884 0.05510625
885 0.05575
886 0.05639375
887 0.0570375
888 0.05768125
889 0.058325
890 0.05896875
891 0.0596125
892 0.06025625
893 0.0609
894 0.06178125
895 0.0626625
896 0.06354375
897 0.064425
898 0.06530625
899 0.0661875
900 0.06706875
901 0.06795
902 0.06883125
903 0.0697125
904 0.07059375
905 0.071475
906 0.07235625
907 0.0732375
908 0.07411875
909 0.075
910 0.0775882352941
911 0.0801764705882
912 0.0827647058824
913 0.0853529411765
914 0.0879411764706
915 0.0905294117647
916 0.0931176470588
917 0.0957058823529
918 0.0982941176471
919 0.100882352941
920 0.103470588235
921 0.106058823529
922 0.108647058824
923 0.111235294118
924 0.113823529412
925 0.116411764706
926 0.119
927 0.123333333333
928 0.127666666667
929 0.132
930 0.136333333333
931 0.140666666667
932 0.145
933 0.149333333333
934 0.153666666667
935 0.158
936 0.165
937 0.172
938 0.179
939 0.186
940 0.193
941 0.2
942 0.207
943 0.214
944 0.226
945 0.238
946 0.25
947 0.262
948 0.274
949 0.286
950 0.298
951 0.31
952 0.322
953 0.3369
954 0.3518
955 0.3667
956 0.3816
957 0.3965
958 0.4114
959 0.4263
960 0.4412
961 0.4561
962 0.471
963 0.474909090909
964 0.478818181818
965 0.482727272727
966 0.486636363636
967 0.490545454545
968 0.494454545455
969 0.498363636364
970 0.502272727273
971 0.506181818182
972 0.510090909091
973 0.514
974 0.512285714286
975 0.510571428571
976 0.508857142857
977 0.507142857143
978 0.505428571429
979 0.503714285714
980 0.502
981 0.4987
982 0.4954
983 0.4921
984 0.4888
985 0.4855
986 0.4822
987 0.4789
988 0.4756
989 0.4723
990 0.469
991 0.4637
992 0.4584
993 0.4531
994 0.4478
995 0.4425
996 0.4372
997 0.4319
998 0.4266
999 0.4213
1000 0.416
1001 0.4095
1002 0.403
1003 0.3965
1004 0.39
1005 0.3835
1006 0.377
1007 0.3705
1008 0.364
1009 0.3575
1010 0.351
1011 0.3444
1012 0.3378
1013 0.3312
1014 0.3246
1015 0.318
1016 0.3114
1017 0.3048
1018 0.2982
1019 0.2916
1020 0.285
1021 0.280090909091
1022 0.275181818182
1023 0.270272727273
1024 0.265363636364
1025 0.260454545455
1026 0.255545454545
1027 0.250636363636
1028 0.245727272727
1029 0.240818181818
1030 0.235909090909
1031 0.231
1032 0.227272727273
1033 0.223545454545
1034 0.219818181818
1035 0.216090909091
1036 0.212363636364
1037 0.208636363636
1038 0.204909090909
1039 0.201181818182
1040 0.197454545455
1041 0.193727272727
1042 0.19
1043 0.187636363636
1044 0.185272727273
1045 0.182909090909
1046 0.180545454545
1047 0.178181818182
1048 0.175818181818
1049 0.173454545455
1050 0.171090909091
1051 0.168727272727
1052 0.166363636364
1053 0.164
1054 0.163058823529
1055 0.162117647059
1056 0.161176470588
1057 0.160235294118
1058 0.159294117647
1059 0.158352941176
1060 0.157411764706
1061 0.156470588235
1062 0.155529411765
1063 0.154588235294
1064 0.153647058824
1065 0.152705882353
1066 0.151764705882
1067 0.150823529412
1068 0.149882352941
1069 0.148941176471
1070 0.148
1071 0.149058823529
1072 0.150117647059
1073 0.151176470588
1074 0.152235294118
1075 0.153294117647
1076 0.154352941176
1077 0.155411764706
1078 0.156470588235
1079 0.157529411765
